"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.099413701E0,-2.001433372E0,-2.197699308E0,1.095232129E0
3.109430834E0,-3.931722641E-1,-1.583451986E0,1.230278373E0
3.119447734E0,-3.927564621E-1,-1.331777096E0,1.172360420E0
3.129464734E0,9.065361023E-1,-2.897433043E-1,1.055171967E0
3.139482100E0,2.430476189E0,1.798101664E0,-1.938549280E-1
3.149499433E0,3.177969933E0,3.765703917E0,-2.373880863E0
3.159515766E0,1.564043999E0,3.054175854E0,-1.008597732E0
3.169532199E0,4.125047684E0,5.376889706E0,-9.639646530E0
3.179549732E0,2.877522469E0,5.749508858E0,-7.135488033E0
3.189566465E0,3.209681511E0,3.277316093E0,-4.991397858E0
3.199582631E0,3.241880417E0,1.533731222E0,-3.731712818E0
3.209598797E0,2.669363022E0,9.743782282E-1,-4.298885345E0
3.219615397E0,2.952376366E0,7.136233449E-1,-4.716780663E0
3.229631897E0,3.269787788E0,8.882855773E-1,-3.648803234E0
3.239647497E0,4.194351196E0,2.003283262E0,-3.032321215E0
3.249663063E0,4.173476219E0,2.827646732E0,-4.176103115E0
3.259679696E0,4.828483582E0,3.445393801E0,-4.583725929E0
3.269696196E0,5.418663025E0,2.875601292E0,-1.535438538E0
3.279712162E0,4.327040672E0,1.450988531E0,7.414696217E-1
3.289727895E0,2.060928345E-1,-2.306556702E0,8.396260142E-1
3.299743795E0,1.114396095E0,-3.737722635E0,3.447668076E0
3.309759828E0,-1.472597122E-1,-6.667061329E0,2.616920233E0
3.319774828E0,1.474771500E-1,-9.346158981E0,2.243009090E0
3.329789828E0,5.471477509E-1,-1.093322849E1,1.614297628E-1
3.339805894E0,-7.541732788E-1,-1.059792519E1,-1.887174606E0
3.349822194E0,-1.798363686E0,-7.591217518E0,4.160428047E-1
3.359838394E0,-4.191732407E-1,-6.822539806E0,2.605652511E-1
3.369854860E0,-1.512808800E0,-7.926823616E0,1.787458658E0
3.379871760E0,-3.010719299E0,-9.183663368E0,3.166594744E0
3.389888826E0,-5.015741825E0,-1.011842155E1,3.396329403E0
3.399904992E0,-5.761381149E0,-1.035577583E1,3.595704079E0
3.409921125E0,-5.389463902E0,-9.100269318E0,4.187040806E0
3.419938225E0,-4.252753735E0,-8.096814156E0,4.503585339E0
3.429955225E0,-2.645546436E0,-6.755970001E0,5.348071575E0
3.439971925E0,-1.209830284E0,-5.436856747E0,3.327535391E0
3.449988791E0,-3.702564240E-1,-4.316691875E0,1.853753328E0
