"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.289487408E2,6.498338458E1,2.552107771E1,2.352197778E1,1.120000005E0,1.941999969E2,2.000000000E0,3.000000000E0
1.299332582E2,6.498337184E1,2.552107050E1,2.352196694E1,1.179999948E0,1.930000000E2,2.000000000E0,3.000000000E0
1.309420426E2,6.498336044E1,2.552106396E1,2.352195726E1,1.029999971E0,1.893999939E2,2.000000000E0,3.000000000E0
1.319505184E2,6.498334862E1,2.552105927E1,2.352194695E1,1.090000033E0,1.913000031E2,2.000000000E0,3.000000000E0
1.329418273E2,6.498333739E1,2.552105181E1,2.352193754E1,1.029999971E0,1.923999939E2,2.000000000E0,3.000000000E0
1.339353543E2,6.498332561E1,2.552104544E1,2.352192749E1,1.029999971E0,1.956000061E2,2.000000000E0,3.000000000E0
1.349458521E2,6.498331237E1,2.552103672E1,2.352191638E1,1.100000024E0,1.963999939E2,2.000000000E0,3.000000000E0
1.359429108E2,6.498329891E1,2.552102750E1,2.352190515E1,1.019999981E0,1.966000061E2,2.000000000E0,3.000000000E0
1.369427689E2,6.498328957E1,2.552102029E1,2.352189746E1,7.400000095E-1,1.991999969E2,2.000000000E0,3.000000000E0
1.379418898E2,6.498328026E1,2.552101409E1,2.352188967E1,9.099999666E-1,1.946000061E2,2.000000000E0,3.000000000E0
1.389429900E2,6.498326891E1,2.552100328E1,2.352188059E1,9.699999690E-1,1.945000000E2,2.500000000E0,3.000000000E0
1.399361550E2,6.498325751E1,2.552099355E1,2.252187132E1,9.799999595E-1,1.963999939E2,2.500000000E0,3.000000000E0
1.409423243E2,6.498324607E1,2.552098534E1,2.252186182E1,1.069999933E0,2.001999969E2,2.500000000E0,3.000000000E0
1.419394595E2,6.498323215E1,2.552097562E1,2.252185023E1,1.100000024E0,2.008999939E2,2.500000000E0,3.000000000E0
1.429328736E2,6.498321782E1,2.552096405E1,2.252183850E1,1.049999952E0,2.005000000E2,2.500000000E0,3.000000000E0
1.439301257E2,6.498320571E1,2.552095424E1,2.152182858E1,1.189999938E0,1.985000000E2,2.500000000E0,3.000000000E0
1.449401802E2,6.498319154E1,2.552094838E1,2.152181626E1,9.799999595E-1,1.953000031E2,2.500000000E0,3.000000000E0
1.459455518E2,6.498317872E1,2.552094435E1,2.152180493E1,1.110000014E0,1.938999939E2,2.500000000E0,3.000000000E0
1.469433599E2,6.498316568E1,2.552093832E1,2.152179366E1,1.029999971E0,1.966000061E2,2.500000000E0,3.000000000E0
1.479442094E2,6.498315156E1,2.552093362E1,2.152178122E1,9.499999881E-1,1.956000061E2,2.000000000E0,3.000000000E0
1.489472484E2,6.498313903E1,2.552092952E1,2.152177017E1,8.899999857E-1,1.963999939E2,2.000000000E0,3.000000000E0
1.499470134E2,6.498312922E1,2.552092055E1,2.152176228E1,8.499999642E-1,2.023000031E2,2.000000000E0,3.000000000E0
1.509512448E2,6.498311900E1,2.552091108E1,2.152175407E1,1.009999990E0,2.016999969E2,2.000000000E0,3.000000000E0
1.519419830E2,6.498310479E1,2.552090127E1,2.152174222E1,1.240000010E0,1.976000061E2,2.000000000E0,3.000000000E0
1.529461473E2,6.498308836E1,2.552089155E1,2.152172831E1,1.069999933E0,1.996000061E2,2.500000000E0,3.000000000E0
1.539396822E2,6.498307503E1,2.552088174E1,2.152171727E1,1.090000033E0,2.028000031E2,2.500000000E0,3.000000000E0
1.549529807E2,6.498306141E1,2.552086942E1,2.152170630E1,1.139999986E0,2.061999969E2,2.500000000E0,3.000000000E0
1.559445480E2,6.498304796E1,2.552085869E1,2.052169527E1,1.000000000E0,2.051999969E2,2.500000000E0,3.000000000E0
1.569538875E2,6.498303627E1,2.552085048E1,2.052168553E1,9.899999499E-1,2.046000061E2,2.500000000E0,3.000000000E0
1.579419255E2,6.498302281E1,2.552083857E1,2.052167466E1,1.069999933E0,2.051000061E2,2.500000000E0,3.000000000E0
1.589516709E2,6.498300982E1,2.552082935E1,2.052166386E1,1.230000019E0,1.991999969E2,2.500000000E0,3.000000000E0
1.599375323E2,6.498299566E1,2.552082449E1,2.052165140E1,1.189999938E0,1.958999939E2,2.500000000E0,3.000000000E0
1.609434861E2,6.498298250E1,2.552081116E1,2.052164098E1,1.240000010E0,1.926999969E2,2.500000000E0,3.000000000E0
1.619475315E2,6.498296703E1,2.552080161E1,2.052162794E1,1.339999914E0,1.961999969E2,2.500000000E0,3.000000000E0
1.629438152E2,6.498295077E1,2.552078954E1,2.052161449E1,1.250000000E0,1.988999939E2,2.500000000E0,3.000000000E0
1.639420979E2,6.498293606E1,2.552077856E1,2.052160233E1,1.209999919E0,1.990000000E2,2.000000000E0,3.000000000E0
1.649570325E2,6.498292475E1,2.552076892E1,2.052159313E1,1.079999924E0,1.993999939E2,2.000000000E0,3.000000000E0
1.659427971E2,6.498291251E1,2.552075903E1,1.952158312E1,1.129999995E0,2.011999969E2,2.000000000E0,3.000000000E0
1.669430345E2,6.498290211E1,2.552075065E1,2.052157461E1,1.139999986E0,2.011000061E2,2.000000000E0,3.000000000E0
1.679505049E2,6.498288845E1,2.552074101E1,2.052156324E1,1.220000029E0,2.048999939E2,2.000000000E0,3.000000000E0
1.689430451E2,6.498287718E1,2.552073120E1,2.052155411E1,1.250000000E0,2.063000031E2,2.000000000E0,3.000000000E0
1.699457741E2,6.498286347E1,2.552071955E1,2.052154297E1,1.149999976E0,2.063999939E2,2.000000000E0,3.000000000E0
1.709521864E2,6.498285082E1,2.552070564E1,2.052153309E1,1.169999957E0,2.076000061E2,2.000000000E0,3.000000000E0
1.719403773E2,6.498283908E1,2.552069415E1,2.052152375E1,9.300000072E-1,2.080000000E2,2.500000000E0,3.000000000E0
1.729355665E2,6.498282735E1,2.552068451E1,2.052151417E1,1.189999938E0,2.046000061E2,2.500000000E0,3.000000000E0
1.739306013E2,6.498281641E1,2.552067521E1,2.052150528E1,1.039999962E0,2.010000000E2,2.500000000E0,3.000000000E0
1.749406693E2,6.498280652E1,2.552066976E1,2.052149685E1,7.599999905E-1,1.940000000E2,2.500000000E0,3.000000000E0
1.759256594E2,6.498279667E1,2.552066507E1,2.052148836E1,8.799999952E-1,1.915000000E2,2.500000000E0,3.000000000E0
1.769273807E2,6.498278460E1,2.552065820E1,2.052147810E1,9.899999499E-1,1.925000000E2,2.500000000E0,3.000000000E0
1.779371374E2,6.498277291E1,2.552065426E1,2.052146781E1,1.129999995E0,1.931999969E2,2.500000000E0,3.000000000E0
1.789358667E2,6.498276117E1,2.552064562E1,2.052145809E1,1.069999933E0,1.930000000E2,2.500000000E0,3.000000000E0
1.799251871E2,6.498275015E1,2.552063473E1,2.052144934E1,9.199999571E-1,1.976999969E2,2.500000000E0,3.000000000E0
1.809390188E2,6.498273921E1,2.552061939E1,2.052144124E1,9.300000072E-1,1.996000061E2,2.500000000E0,3.000000000E0
1.819428453E2,6.498273029E1,2.552060782E1,2.052143451E1,8.499999642E-1,2.041000061E2,2.500000000E0,3.000000000E0
1.829163238E2,6.498271599E1,2.552059877E1,1.952142248E1,1.059999943E0,2.055000000E2,2.500000000E0,3.000000000E0
1.839436403E2,6.498270246E1,2.552058913E1,1.952141124E1,1.199999928E0,2.026000061E2,2.500000000E0,3.000000000E0
1.849453035E2,6.498268955E1,2.552057907E1,1.952140062E1,1.259999990E0,2.016000061E2,2.500000000E0,3.000000000E0
1.859400865E2,6.498267614E1,2.552056432E1,1.952139016E1,1.269999981E0,2.008999939E2,2.500000000E0,3.000000000E0
1.869440575E2,6.498266407E1,2.552054814E1,1.952138113E1,1.339999914E0,2.078000031E2,2.500000000E0,3.000000000E0
1.879412948E2,6.498265196E1,2.552053180E1,1.952137209E1,1.379999995E0,2.013999939E2,2.500000000E0,3.000000000E0
1.889375811E2,6.498264098E1,2.552052341E1,1.952136304E1,9.499999881E-1,2.013999939E2,2.500000000E0,3.000000000E0
1.899533909E2,6.498263318E1,2.552050908E1,1.952135771E1,9.099999666E-1,2.031000061E2,2.500000000E0,3.000000000E0
1.909452163E2,6.498262316E1,2.552049131E1,1.952135079E1,7.500000000E-1,2.083999939E2,2.500000000E0,3.000000000E0
1.919437204E2,6.498261407E1,2.552047472E1,1.952134457E1,5.999999642E-1,2.083999939E2,2.500000000E0,3.000000000E0
1.929426488E2,6.498260686E1,2.552046508E1,1.952133917E1,5.600000024E-1,2.120000000E2,2.500000000E0,3.000000000E0
